,Player,Tm,season17_18
131,Bogdan Bogdanovic,SAC,"$9,470,614 "
132,Andre Roberson,OKC,"$9,259,259 "
133,Trevor Booker,PHI,"$9,125,000 "
134,Dwight Powell,DAL,"$9,003,125 "
135,Jerryd Bayless,PHI,"$9,000,000 "
136,Avery Bradley,LAC,"$8,808,989 "
137,JaMychal Green,MEM,"$8,533,333 "
138,E'Twaun Moore,NOP,"$8,445,024 "
139,Rudy Gay,SAS,"$8,406,000 "
140,Kosta Koufos,SAC,"$8,393,000 "
141,Markieff Morris,WAS,"$8,000,000 "
142,Garrett Temple,SAC,"$8,000,000 "
143,Vince Carter,SAC,"$8,000,000 "
144,C.J. Miles,TOR,"$7,936,509 "
145,Cristiano Felicio,CHI,"$7,843,500 "
146,Shaun Livingston,GSW,"$7,692,308 "
147,Cory Joseph,IND,"$7,630,000 "
148,P.J. Tucker,HOU,"$7,590,035 "
149,Corey Brewer,LAL,"$7,579,366 "
150,Andrew Wiggins,MIN,"$7,574,322 "
151,Darrell Arthur,DEN,"$7,464,912 "
152,Channing Frye,LAL,"$7,420,912 "
153,Trevor Ariza,HOU,"$7,420,912 "
154,Al-Farouq Aminu,POR,"$7,319,035 "
155,Cole Aldrich,MIN,"$7,300,000 "
156,D.J. Augustin,ORL,"$7,250,000 "
157,Markelle Fultz,PHI,"$7,026,240 "
158,Lou Williams,LAC,"$7,000,000 "
159,Kyle Korver,CLE,"$7,000,000 "
160,Jeremy Lamb,CHO,"$7,000,000 "
161,Boban Marjanovic,LAC,"$7,000,000 "
162,Jae Crowder,UTA,"$6,796,117 "
163,Jabari Parker,MIL,"$6,782,392 "
164,Langston Galloway,DET,"$6,666,667 "
165,Lance Thomas,NYK,"$6,655,325 "
166,Ed Davis,POR,"$6,352,531 "
167,Marco Belinelli,ATL,"$6,306,060 "
168,Jonathon Simmons,ORL,"$6,300,000 "
169,Lonzo Ball,LAL,"$6,286,560 "
170,Wayne Ellington,MIA,"$6,270,000 "
